Experiment,Activation,Hidden Layers,Learning Rate,Optimizer,Epochs Run,Training Time (s),Best Val Acc (%),Test Accuracy (%),Test Loss,Parameters
"Exp 1: ReLU / [128,64] / LR=0.001",RELU,"[128, 64]",0.001,Adam,21,339.7,89.53,89.10,0.3080,"109,770"
"Exp 2: Tanh / [256,128] / LR=0.0005",TANH,"[256, 128]",0.0005,Adam,30,533.4,89.57,88.70,0.3169,"235,914"
